    PID    PPID STAT CMD
   2953    2797 Ssl  /usr/libexec/gnome-session-ctl --monitor
   2954    2797 Ss   /usr/bin/ssh-agent -D
   2957    2797 Ssl  /usr/libexec/xdg-document-portal
   2971    2797 Ssl  /usr/libexec/xdg-permission-store
   2978    2957 Ss   fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/60578/doc
   3031    2797 Ssl  /usr/libexec/gnome-session-service --session=gnome-login
   3045    2797 Ssl  /usr/bin/gnome-shell --mode=gdm
   3068       2 S    [nvidia-drm/timeline-16]
   3093    2797 Ssl  /usr/libexec/at-spi-bus-launcher
   3100    3093 S    /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/60578/at-spi/bus
   3102    2797 Sl   /usr/libexec/at-spi2-registryd --use-gnome-session
   3103       1 Ssl  /usr/libexec/colord
   3141    2797 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   3142       1 Ssl  /usr/libexec/upowerd
   3161    2797 Ssl  /usr/bin/ibus-daemon --panel disable
   3163    2797 Ssl  /usr/libexec/gsd-a11y-settings
   3164    2797 Ssl  /usr/libexec/gsd-keyboard
   3165    2797 Ssl  /usr/libexec/gsd-media-keys
   3166    2797 Ssl  /usr/libexec/gsd-power
   3167    2797 Ssl  /usr/libexec/gsd-rfkill
   3168    2797 Ssl  /usr/libexec/gsd-sharing
   3169    2797 Ssl  /usr/libexec/gsd-smartcard
   3171    2797 Ssl  /usr/libexec/gsd-usb-protection
   3214    2797 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   3270    3161 Sl   /usr/libexec/ibus-dconf
   3273    2797 Sl   /usr/libexec/ibus-portal
   3617    2797 Ssl  /usr/libexec/xdg-desktop-portal
   4266    2797 Ssl  /usr/libexec/xdg-desktop-portal-gnome
   4272    3161 Sl   /usr/libexec/ibus-engine-simple
   4629    2797 Ssl  /usr/libexec/xdg-desktop-portal-gtk
   4719       2 I<   [kworker/15:1H-kblockd]
   4739       1 Ssl  /usr/sbin/cups-browsed
   4741       1 Ssl  /usr/local/bin/ollama serve
   4743       1 Ssl  /usr/libexec/power-profiles-daemon
   4885       2 I<   [kworker/11:1H-kblockd]
   5034    2690 S    /usr/lib/cups/notifier/dbus dbus://
   5995       2 S    [vidmem lazy free]
   6005       2 S    [UVM GPU1 BH]
   6006       2 S    [UVM GPU1 KC]
   7338    2737 Sl   gdm-session-worker [pam/gdm-password]
   7698       1 Ss   /usr/lib/systemd/systemd --user
   7702    7698 S    (sd-pam)
   7728    7698 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   7729    7698 Ssl  /usr/bin/pipewire
   7732    7698 Ss   /snap/snapd-desktop-integration/361/usr/bin/snapd-desktop-integration
   7733    7698 SLsl /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   7744    7698 Ss   /usr/bin/mpris-proxy
   7745    7698 Ssl  /usr/bin/wireplumber
   7746    7698 Ssl  /usr/bin/pipewire -c filter-chain.conf
   7749    7698 Ssl  /usr/bin/pipewire-pulse
   7815    7338 Ssl  /usr/libexec/gdm-wayland-session /usr/bin/gnome-session --session=ubuntu
   7855    7815 Sl   /usr/libexec/gnome-session-init-worker ubuntu
   7875    7698 Ssl  /usr/libexec/xdg-document-portal
   7905    7698 Ssl  /usr/libexec/xdg-permission-store
   7921    7875 Ss   fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   7984    7698 Ssl  /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   7985    7698 Ssl  /usr/libexec/gnome-session-ctl --monitor
   7986    7698 Ss   /usr/bin/ssh-agent -D
   7998    7698 Ssl  /usr/libexec/gvfsd
   8005    7698 Sl   /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   8007    7698 Ssl  /usr/libexec/gnome-session-service --session=ubuntu
   8020    7698 SLsl /usr/bin/gnome-shell --mode=ubuntu
   8068       2 S    [nvidia-drm/timeline-24]
   8076       2 I<   [kworker/23:1H-kblockd]
   8095    7698 Ssl  /usr/libexec/at-spi-bus-launcher
   8102    8095 S    /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   8117       2 I<   [kworker/7:1H-kblockd]
   8121    7698 Sl   /usr/libexec/at-spi2-registryd --use-gnome-session
   8135    7732 Sl   /snap/snapd-desktop-integration/361/usr/bin/snapd-desktop-integration
   8152    7698 Sl   /usr/libexec/gnome-shell-calendar-server
   8172    7698 Ssl  /usr/libexec/evolution-source-registry
   8178    7698 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   8200    7698 Ssl  /usr/bin/ibus-daemon --panel disable
   8201    7698 Ssl  /usr/libexec/gsd-a11y-settings
   8202    7698 Ssl  /usr/libexec/gsd-color
   8203    7698 Ssl  /usr/libexec/gsd-datetime
   8204    7698 Ssl  /usr/libexec/gsd-housekeeping
   8205    7698 Ssl  /usr/libexec/gsd-keyboard
   8206    7698 Ssl  /usr/libexec/gsd-media-keys
   8207    7698 Ssl  /usr/libexec/gsd-power
   8208    7698 Ssl  /usr/libexec/gsd-print-notifications
   8209    7698 Ssl  /usr/libexec/gsd-rfkill
   8210    7698 Ssl  /usr/libexec/gsd-screensaver-proxy
   8212    7698 Ssl  /usr/libexec/gsd-sharing
   8213    7698 Ssl  /usr/libexec/gsd-smartcard
   8221    7698 Ssl  /usr/libexec/gsd-sound
   8226    7698 Ssl  /usr/libexec/gsd-usb-protection
   8233    7698 Ssl  /usr/libexec/gsd-wwan
   8261    7698 Sl   /usr/libexec/gsd-disk-utility-notify
   8262    7698 Ssl  /usr/libexec/gvfs-udisks2-volume-monitor
   8268    7698 Sl   /usr/libexec/evolution-data-server/evolution-alarm-notify
   8299    7698 Sl   /usr/bin/update-notifier
   8325    7698 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   8344    8200 Sl   /usr/libexec/ibus-dconf
   8347    8200 Sl   /usr/libexec/ibus-extension-gtk3
   8373    7698 Sl   /usr/libexec/ibus-portal
   8423    7698 SLsl /usr/libexec/gnome-remote-desktop-daemon --handover
   8428    7698 SNsl /usr/libexec/localsearch-3
   8430    7698 Ssl  /usr/libexec/xdg-desktop-portal
   8437    7698 Ssl  /usr/libexec/gvfs-mtp-volume-monitor
   8439    7698 Ssl  /usr/libexec/xdg-desktop-portal-gnome
   8449    7698 Sl   /usr/libexec/gsd-printer
   8461    7698 Ssl  /usr/libexec/gvfs-gphoto2-volume-monitor
   8471    7698 Ssl  /usr/libexec/gvfs-goa-volume-monitor
   8476    7698 Sl   /usr/libexec/goa-daemon
   8486    7698 Sl   /usr/libexec/goa-identity-service
   8491    7698 Ssl  /usr/libexec/gvfs-afc-volume-monitor
   8513    7698 Ssl  /usr/libexec/evolution-calendar-factory
   8527    8200 Sl   /usr/libexec/ibus-engine-simple
   8553    7698 Ssl  /usr/libexec/evolution-addressbook-factory
   8572    7698 Ssl  /usr/libexec/dconf-service
   8590    7998 Sl   /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
   8607       2 S    [nvidia-drm/timeline-29]
   8645    7698 Ssl  /usr/libexec/xdg-desktop-portal-gtk
   8945    7698 Ssl  /usr/libexec/gvfsd-metadata
   9361    8020 Sl   /opt/google/chrome/chrome
   9366    9361 S    cat
   9367    9361 S    cat
   9372    7698 Sl   /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/bogdan/.config/google-chrome/Crash Reports --metrics-dir=/home/bogdan/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 26.04 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=149.0.7827.53 --initial-client-fd=5 --shared-client-connection
   9374    7698 Sl   /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/bogdan/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 26.04 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=149.0.7827.53 --initial-client-fd=4 --shared-client-connection
   9382    9361 S    /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --change-stack-guard-on-fork=enable
   9383    9361 S    /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --change-stack-guard-on-fork=enable
   9385    9383 S    /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --change-stack-guard-on-fork=enable
   9509    9382 Sl   /opt/google/chrome/chrome --type=gpu-process --ozone-platform=wayland --render-node-override=/dev/dri/renderD129 --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --metrics-shmem-handle=4,i,18381733552564155481,1083316623671684056,262144 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190708988185955192
   9513    8020 R    /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.952IQ3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients -enable-ei-portal
   9514    9361 Sl   /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD129 --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,18048511703864874180,4936728675490906621,524288 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190708989122997041
   9524       2 S    [nvidia-drm/timeline-2a]
   9525    9385 Sl   /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --render-node-override=/dev/dri/renderD129 --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,15684332433585680589,18295939252876871850,524288 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190708990060038890
   9537    7698 Ssl  /usr/libexec/gsd-xsettings
   9545    8020 Sl   /usr/libexec/mutter-x11-frames
   9564    7698 Sl   /usr/libexec/ibus-x11
   9585       2 S    [nvidia-drm/timeline-2b]
   9666       2 S    [nvidia-drm/timeline-2c]
   9669       2 S    [nvidia-drm/timeline-2d]
   9672       2 S    [nvidia-drm/timeline-2e]
   9695    9385 Sl   /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=10 --time-ticks-at-unix-epoch=-1781189805842148 --launch-time-ticks=103841427 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,11931379510404654412,4252963242020822120,2097152 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190708995682289984
   9783    9385 Sl   /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=14 --time-ticks-at-unix-epoch=-1781189805842148 --launch-time-ticks=108043206 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,7294423168402559155,13208526970489177917,2097152 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190708999430457380
   9930    9361 Sl   /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD129 --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,7409898039540357975,8786289705431816656,524288 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190709002241582927
  10963    7698 SLl  /usr/bin/gnome-control-center --gapplication-service
  11027       2 S    [nvidia-drm/timeline-67]
  11030       2 S    [nvidia-drm/timeline-68]
  11035       2 S    [nvidia-drm/timeline-69]
